id,match_id,minute,second,period,event_type,outcome,team_name,player_name,x,y,is_shot,is_goal,qualifier_text,body_part,shot_zone,shot_distance,shot_angle,is_big_chance,is_header,is_right_foot,is_left_foot,is_penalty,is_volley,first_touch,from_corner,is_counter
287026,216,34,47.0,FirstHalf,SavedShot,Successful,West Ham,Jarrod Bowen,85.1,43.5,1,0,leftfoot blockedy 44.9 blocked goalmouthy 50.6 boxcentre regularplay lowcentre assisted blockedx 88.1 relatedeventid 272 oppositerelatedevent 299 goalmouthz 19 individualplay zone center,Left foot,Box,16.256075787224916,0.4113537318815138,0,0,0,1,0,0,0,0,0
287041,216,35,37.0,FirstHalf,MissedShots,Successful,West Ham,Crysencio Summerville,84.3,53.8,1,0,missright boxcentre zone center blockedy 48.2 goalmouthy 35.3 fromcorner firsttouch rightfoot goalmouthz 13.9 blockedx 92.3 bigchancecreated keypass,Right foot,Box,16.153327830512204,0.2374712966623069,1,0,1,0,0,0,1,1,0
287042,216,35,39.0,FirstHalf,SavedShot,Successful,West Ham,Tomás Soucek,92.4,49.5,1,0,blockedy 49.5 fromcorner goalmouthy 50.3 blockedx 99.1 firsttouch otherbodypart goalmouthz 22.2 oppositerelatedevent 306 assisted bigchance highcentre relatedeventid 283 boxcentre zone center,Other,Box,7.61642960973184,0.0656948015524648,1,0,0,0,0,0,1,1,0
287105,216,40,6.0,FirstHalf,SavedShot,Successful,West Ham,Konstantinos Mavropanos,91.7,52.3,1,0,goalmouthy 45.9 blockedx 98.5 firsttouch blockedy 50.2 goalmouthz 25.3 setpiece head oppositerelatedevent 344 intentionalassist assisted zone center relatedeventid 308 boxcentre highright,Head,Box,8.612781200053787,0.27032534637866623,0,1,0,0,0,0,1,0,0
287153,216,43,41.0,FirstHalf,MissedShots,Successful,Tottenham,Conor Gallagher,90.6,42.8,1,0,throwinsetpiece firsttouch goalmouthy 59.5 goalmouthz 18.1 relatedeventid 381 zone center boxcentre head assisted missleft intentionalassist,Head,Box,11.840608092492554,0.6536358969195217,0,1,0,0,0,0,1,0,0
287382,216,47,37.0,SecondHalf,SavedShot,Successful,Tottenham,Yves Bissouma,72.2,63.6,1,0,blockedy 50.7 relatedeventid 517 blockedx 98.5 regularplay rightfoot assisted zone center lowcentre oppositerelatedevent 450 goalmouthz 19.6 goalmouthy 49.9 outofboxcentre individualplay,Right foot,Box,30.948344059093046,0.45497730603702075,0,0,1,0,0,0,0,0,0
287231,216,48,8.0,FirstHalf,SavedShot,Successful,West Ham,Crysencio Summerville,84.9,62.4,1,0,regularplay oppositerelatedevent 419 relatedeventid 380 blockedy 61.4 blocked zone center boxcentre lowcentre goalmouthy 50.1 blockedx 86.2 assisted rightfoot individualplay goalmouthz 19,Right foot,Box,19.538935487891855,0.6875300131018158,0,0,1,0,0,0,0,0,0
287234,216,48,14.0,FirstHalf,SavedShot,Successful,West Ham,Pablo,88.2,49.7,1,0,goalmouthy 47.9 volley goalmouthz 19 blocked lowright regularplay blockedx 89.8 blockedy 49.5 rightfoot oppositerelatedevent 421 boxcentre zone center,Right foot,Box,11.803812943282349,0.025418253259075468,0,0,1,0,0,1,0,0,0
287410,216,49,9.0,SecondHalf,MissedShots,Successful,Tottenham,Djed Spence,75.8,60.6,1,0,assisted missright individualplay rightfoot relatedeventid 536 goalmouthz 11.1 outofboxcentre regularplay goalmouthy 40.2 zone center,Right foot,Box,26.419689627245816,0.4128439049425845,0,0,1,0,0,0,0,0,0
287273,216,50,28.0,FirstHalf,MissedShots,Successful,Tottenham,Mathys Tel,85.8,41.2,1,0,setpiece relatedeventid 439 leftfoot goalmouthy 41.5 intentionalassist goalmouthz 23.6 volley firsttouch assisted zone center boxcentre,Left foot,Box,16.70568765420927,0.5547922271378954,0,0,0,1,0,1,1,0,0
